id;Comunidades_Autonomas;Provincias;Comarca;SAU;Superficie_HA;Cultivo;Permanota
1;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;115;8 Viñedo;6
2;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;0;5 Bayas (excluidas las fresas y bayas silvestres);7
3;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;0;8 Semillas y plántulas destinadas a la venta;3
4;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;0;7 Flores y plantas ornamentales (venta como flor cortada, excepto semillas y plántulas);3
5;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;0;3 Raíces y Tubérculos;9
6;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;0;1 Cítricos;8
7;País Vasco;Araba/Álava;Cantábrica;SAU en invernadero o abrigo alto accesible;0;Otros cultivos (incluidos huertos para consumo propio <100 m2);8
8;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;0;5 Cultivos industriales;5
9;País Vasco;Araba/Álava;Cantábrica;SAU en invernadero o abrigo alto accesible;0;Plantas aromáticas, medicinales y especias así como otras tierras arables;5
10;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;0;9 Otros herbáceos;0
11;País Vasco;Araba/Álava;Cantábrica;SAU en invernadero o abrigo alto accesible;0;Cultivos leñosos / permanentes (incluido viveros);0
12;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;1;4 Frutales originarios de clima tropical y subtropical;7
13;País Vasco;Araba/Álava;Cantábrica;SAU en invernadero o abrigo alto accesible;1;Semillas y plántulas destinadas a la venta;5
14;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;2;9 Viveros;5
15;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;3;7 Olivar;8
16;País Vasco;Araba/Álava;Cantábrica;SAU en invernadero o abrigo alto accesible;0;Flores y plantas ornamentales;2
17;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;392;4 Cultivos cosechados en verde;6
18;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;7;11 Otros cultivos leñosos;0
19;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;10;10 Árboles de Navidad;0
20;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;19;Barbechos  (incluye las tierras sembradas para abono en verde);0
21;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;5623;2 Pasto intensivo;1
22;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;37;3 Pasto no utilizado a efectos de producción;1
23;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;2387;1 Pasto extensivo;1
24;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;38;2 Frutales originarios de clima templado, de pepita;7
25;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;3;3 Frutales originarios de clima templado, de hueso;7
26;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;5;6 Frutales de fruto seco;7
27;País Vasco;Araba/Álava;Cantábrica;SAU en invernadero o abrigo alto accesible;5;Hortalizas, incluidos melones y fresas;9
28;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;7;Huertos para consumo propio;9
29;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;23;6 Hortalizas, melones y fresas (excluidas semillas y plántulas);9
30;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;24;2 Leguminosas y proteaginosas secas para grano;9
31;País Vasco;Araba/Álava;Cantábrica;SAU al aire libre;167;1 Cereales para grano;9
32;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;0;8 Viñedo;6
33;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU en invernadero o abrigo alto accesible;0;Flores y plantas ornamentales;2
34;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;0;4 Frutales originarios de clima tropical y subtropical;7
35;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;0;8 Semillas y plántulas destinadas a la venta;3
36;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;0;7 Flores y plantas ornamentales (venta como flor cortada, excepto semillas y plántulas);3
37;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;0;1 Cítricos;8
38;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;0;7 Olivar;8
39;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU en invernadero o abrigo alto accesible;0;Otros cultivos (incluidos huertos para consumo propio <100 m2);8
40;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU en invernadero o abrigo alto accesible;0;Semillas y plántulas destinadas a la venta;5
41;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;0;9 Viveros;5
42;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU en invernadero o abrigo alto accesible;0;Plantas aromáticas, medicinales y especias así como otras tierras arables;5
43;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;0;9 Otros herbáceos;0
44;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU en invernadero o abrigo alto accesible;0;Cultivos leñosos / permanentes (incluido viveros);0
45;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;1;3 Frutales originarios de clima templado, de hueso;7
46;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU en invernadero o abrigo alto accesible;1;Hortalizas, incluidos melones y fresas;9
47;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;22;5 Cultivos industriales;5
48;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;692;4 Cultivos cosechados en verde;6
49;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;8;11 Otros cultivos leñosos;0
50;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;6;10 Árboles de Navidad;0
51;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;114;Barbechos  (incluye las tierras sembradas para abono en verde);0
52;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;4427;2 Pasto intensivo;1
53;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;59;3 Pasto no utilizado a efectos de producción;1
54;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;2386;1 Pasto extensivo;1
55;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;24;2 Frutales originarios de clima templado, de pepita;7
56;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;4;5 Bayas (excluidas las fresas y bayas silvestres);7
57;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;4;6 Frutales de fruto seco;7
58;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;3;Huertos para consumo propio;9
59;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;63;3 Raíces y Tubérculos;9
60;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;15;6 Hortalizas, melones y fresas (excluidas semillas y plántulas);9
61;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;32;2 Leguminosas y proteaginosas secas para grano;9
62;País Vasco;Araba/Álava;Estribaciones Gorbea;SAU al aire libre;1109;1 Cereales para grano;9
63;País Vasco;Araba/Álava;Valles Alaveses;SAU en invernadero o abrigo alto accesible;0;Hortalizas, incluidos melones y fresas;9
64;País Vasco;Araba/Álava;Valles Alaveses;SAU en invernadero o abrigo alto accesible;0;Flores y plantas ornamentales;2
65;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;0;4 Frutales originarios de clima tropical y subtropical;7
66;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;0;8 Semillas y plántulas destinadas a la venta;3
67;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;0;7 Flores y plantas ornamentales (venta como flor cortada, excepto semillas y plántulas);3
68;País Vasco;Araba/Álava;Valles Alaveses;SAU al aire libre;0;1 Cítricos;8
